County,Id2,Geography,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 2015 or later,Percent; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing units - Moved in 1979 and earlier,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units with a mortgage - Median (dollars),Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage,Estimate; SELECTED MONTHLY OWNER COSTS (SMOC) - Housing units without a mortgage - Median (dollars),SMOC for housing units with and without a mortgage,Estimate; GROSS RENT - Occupied units paying rent,Estimate; GROSS RENT - Occupied units paying rent - Median (dollars),Estimate; INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars)
Camden,34007603504,"Census Tract 6035.04, Camden County, New Jersey",2.4,17.8,571,2274,297,1236,1919,36,2184,104922
Camden,34007603505,"Census Tract 6035.05, Camden County, New Jersey",2.3,19.9,680,2155,402,958,1710,53,2327,110341
Camden,34007603506,"Census Tract 6035.06, Camden County, New Jersey",1.8,15.3,1532,2649,486,1235,2308,44,3093,132797
Camden,34007603507,"Census Tract 6035.07, Camden County, New Jersey",6.5,7.8,1686,2706,535,1425,2397,542,0,120322
Camden,34007603601,"Census Tract 6036.01, Camden County, New Jersey",6,18.9,761,1938,494,1012,1574,137,1444,88200
Camden,34007603602,"Census Tract 6036.02, Camden County, New Jersey",2.3,23.3,583,2909,258,1320,2422,12,0,146625
Camden,34007603603,"Census Tract 6036.03, Camden County, New Jersey",3.4,12.1,599,2412,221,1155,2073,19,1708,123487
Camden,34007603700,"Census Tract 6037, Camden County, New Jersey",7.9,12,666,1766,281,941,1521,547,1108,76310
Camden,34007603800,"Census Tract 6038, Camden County, New Jersey",3.2,12,1231,2212,333,1005,1955,264,1031,105096
Camden,34007603901,"Census Tract 6039.01, Camden County, New Jersey",3.2,17.3,891,2299,521,1021,1827,687,1066,77375
Camden,34007603902,"Census Tract 6039.02, Camden County, New Jersey",13.9,9.3,439,1955,198,767,1586,564,1362,72083
Camden,34007604100,"Census Tract 6041, Camden County, New Jersey",5.5,5,306,1399,165,535,1096,324,1121,45201
Camden,34007604200,"Census Tract 6042, Camden County, New Jersey",12.9,11,449,2002,204,1102,1721,693,1310,71944
Camden,34007604300,"Census Tract 6043, Camden County, New Jersey",10,14.2,825,1941,252,1005,1722,565,1080,83864
Camden,34007604400,"Census Tract 6044, Camden County, New Jersey",12.5,17,603,2444,411,1113,1905,320,1035,84131
Camden,34007604600,"Census Tract 6046, Camden County, New Jersey",11.2,5.4,361,1849,119,949,1626,436,873,62750
Camden,34007604700,"Census Tract 6047, Camden County, New Jersey",5.9,20.6,487,1819,209,853,1529,82,1250,73796
Camden,34007605100,"Census Tract 6051, Camden County, New Jersey",9.2,26.4,419,1587,313,817,1258,132,998,57438
Camden,34007605200,"Census Tract 6052, Camden County, New Jersey",7,20,426,1600,303,731,1239,206,963,57727
Camden,34007605300,"Census Tract 6053, Camden County, New Jersey",7.6,11.9,410,1467,138,741,1284,163,1222,62697
Camden,34007605400,"Census Tract 6054, Camden County, New Jersey",8.6,18.8,542,1714,264,900,1447,234,895,60774
Camden,34007605602,"Census Tract 6056.02, Camden County, New Jersey",17.2,10.7,637,1974,144,1048,1803,286,1014,87885
Camden,34007605700,"Census Tract 6057, Camden County, New Jersey",5.7,15.3,810,1873,232,869,1649,356,930,81524
Camden,34007605800,"Census Tract 6058, Camden County, New Jersey",5.3,25.2,603,2102,396,880,1618,88,913,86250
Camden,34007605900,"Census Tract 6059, Camden County, New Jersey",3.5,19.2,596,2416,253,1093,2022,118,967,104417
Camden,34007606000,"Census Tract 6060, Camden County, New Jersey",11,5,332,2458,171,1198,2030,322,763,78689
Camden,34007606100,"Census Tract 6061, Camden County, New Jersey",9.7,11.3,487,3363,167,1500,2887,116,1190,145000
Camden,34007606200,"Census Tract 6062, Camden County, New Jersey",5.4,15.9,855,2866,465,1210,2283,129,1566,122344
Camden,34007606300,"Census Tract 6063, Camden County, New Jersey",10.1,7.4,439,3016,204,1253,2457,294,1271,105179
Camden,34007606400,"Census Tract 6064, Camden County, New Jersey",6.1,13.6,656,4000,305,1500,3207,63,1218,196989
Camden,34007606500,"Census Tract 6065, Camden County, New Jersey",10.1,12.8,595,1745,209,693,1472,339,832,64103
Camden,34007606600,"Census Tract 6066, Camden County, New Jersey",8.1,16.2,298,1958,288,1076,1525,360,950,76250
Camden,34007606700,"Census Tract 6067, Camden County, New Jersey",11.5,15.1,778,1895,369,873,1566,677,820,70391
Camden,34007606800,"Census Tract 6068, Camden County, New Jersey",7.8,21.9,792,1836,269,823,1579,248,1089,63796
Camden,34007607000,"Census Tract 6070, Camden County, New Jersey",11.3,19.1,444,1575,375,707,1178,887,698,42250
Camden,34007607100,"Census Tract 6071, Camden County, New Jersey",5.7,24.1,803,1609,416,800,1333,175,908,73077
Camden,34007607200,"Census Tract 6072, Camden County, New Jersey",10.9,9.7,720,1721,218,878,1525,842,893,46576
Camden,34007607300,"Census Tract 6073, Camden County, New Jersey",12.1,12.6,797,1681,246,844,1484,581,930,53938
Camden,34007607401,"Census Tract 6074.01, Camden County, New Jersey",7,12.9,571,1678,184,832,1472,372,886,54804
Camden,34007607402,"Census Tract 6074.02, Camden County, New Jersey",4.6,15.7,501,1679,243,785,1387,270,963,67667
Camden,34007607502,"Census Tract 6075.02, Camden County, New Jersey",4.8,8.2,1118,2542,586,1168,2069,346,944,86473
Camden,34007607503,"Census Tract 6075.03, Camden County, New Jersey",5.1,2.7,1273,2424,529,1324,2101,384,1840,104257
Camden,34007607504,"Census Tract 6075.04, Camden County, New Jersey",3.1,5.4,716,3127,413,1451,2514,16,0,173304
Camden,34007607505,"Census Tract 6075.05, Camden County, New Jersey",3.1,9.2,976,2802,391,1451,2416,53,2855,135238
Camden,34007607506,"Census Tract 6075.06, Camden County, New Jersey",26.3,2,523,1539,105,877,1428,609,1461,81843
Camden,34007607507,"Census Tract 6075.07, Camden County, New Jersey",20.5,3.2,473,1744,337,823,1361,1975,1138,47958
Camden,34007607600,"Census Tract 6076, Camden County, New Jersey",2.3,22.6,417,2055,305,907,1570,47,1841,84250
Camden,34007607701,"Census Tract 6077.01, Camden County, New Jersey",20.8,4.3,319,1661,172,868,1383,1688,877,29532
Camden,34007607702,"Census Tract 6077.02, Camden County, New Jersey",8.7,6.8,429,1538,251,963,1326,858,1001,46472
Camden,34007607801,"Census Tract 6078.01, Camden County, New Jersey",7.9,6.5,660,1261,246,741,1120,1572,960,40897
Camden,34007607802,"Census Tract 6078.02, Camden County, New Jersey",6.3,18,471,1640,161,632,1383,198,1425,72083
Camden,34007607900,"Census Tract 6079, Camden County, New Jersey",5.9,15.7,418,1985,155,1043,1730,127,893,82250
Camden,34007608001,"Census Tract 6080.01, Camden County, New Jersey",4.5,11.9,546,1629,274,886,1381,461,921,63618
Camden,34007608202,"Census Tract 6082.02, Camden County, New Jersey",10.1,14.6,842,1851,326,1052,1628,230,1242,84583
Camden,34007608205,"Census Tract 6082.05, Camden County, New Jersey",5.9,27,943,2110,404,1128,1815,33,2141,97313
Camden,34007608206,"Census Tract 6082.06, Camden County, New Jersey",8.1,24.2,717,1927,403,924,1566,132,1462,84667
Camden,34007608209,"Census Tract 6082.09, Camden County, New Jersey",5.9,6.2,545,2369,217,1057,1995,562,1080,60357
Camden,34007608210,"Census Tract 6082.10, Camden County, New Jersey",23.5,4.6,293,2266,140,1085,1884,1079,961,47404
Camden,34007608211,"Census Tract 6082.11, Camden County, New Jersey",5.5,3.2,1297,1756,242,809,1607,626,1342,66472
Camden,34007608302,"Census Tract 6083.02, Camden County, New Jersey",13.9,13,463,1921,384,811,1418,1167,1056,49214
Camden,34007608303,"Census Tract 6083.03, Camden County, New Jersey",4.6,10.1,461,1968,259,969,1609,321,981,68045
Camden,34007608304,"Census Tract 6083.04, Camden County, New Jersey",6.1,6.2,1438,1823,453,845,1589,796,1269,65864
Camden,34007608401,"Census Tract 6084.01, Camden County, New Jersey",6.9,7.3,1068,1767,202,946,1636,31,0,81103
Camden,34007608402,"Census Tract 6084.02, Camden County, New Jersey",2.8,1.6,725,2437,506,951,1826,64,918,91023
Camden,34007608403,"Census Tract 6084.03, Camden County, New Jersey",5.9,2.3,1665,2259,292,942,2062,281,1369,102925
Camden,34007608404,"Census Tract 6084.04, Camden County, New Jersey",9.2,6.2,1342,2035,458,886,1743,435,1243,83142
Camden,34007608503,"Census Tract 6085.03, Camden County, New Jersey",17.2,8.5,355,1431,211,1105,1309,537,976,47882
Camden,34007608504,"Census Tract 6085.04, Camden County, New Jersey",13.3,1.4,570,1678,59,857,1601,901,905,37727
Camden,34007608600,"Census Tract 6086, Camden County, New Jersey",11.5,5.1,815,1552,396,762,1294,680,994,52634
Camden,34007608700,"Census Tract 6087, Camden County, New Jersey",3.4,10.9,1617,1961,647,889,1655,426,1163,90354
Camden,34007608800,"Census Tract 6088, Camden County, New Jersey",7.2,15.7,917,1837,450,932,1539,656,898,59122
Camden,34007608901,"Census Tract 6089.01, Camden County, New Jersey",2.1,10.1,1268,1605,337,818,1440,322,1372,82470
Camden,34007608903,"Census Tract 6089.03, Camden County, New Jersey",1.4,22.8,680,1946,379,950,1590,22,0,103105
Camden,34007608904,"Census Tract 6089.04, Camden County, New Jersey",6.9,16.8,280,1862,159,1049,1568,42,1368,93125
Camden,34007609000,"Census Tract 6090, Camden County, New Jersey",8.2,22.1,277,1608,166,905,1345,138,1000,52000
Camden,34007609103,"Census Tract 6091.03, Camden County, New Jersey",4.8,9.7,1049,1971,458,747,1599,324,1333,68795
Camden,34007609201,"Census Tract 6092.01, Camden County, New Jersey",6.3,1.8,975,1795,202,892,1640,619,871,62083
Camden,34007609202,"Census Tract 6092.02, Camden County, New Jersey",12,1,948,1717,250,808,1527,430,1298,74601
Camden,34007609203,"Census Tract 6092.03, Camden County, New Jersey",7.9,1.6,2171,2125,452,1066,1943,548,1269,92429
Camden,34007609204,"Census Tract 6092.04, Camden County, New Jersey",7.7,2.9,688,1486,194,747,1323,530,1300,44063
Camden,34007609205,"Census Tract 6092.05, Camden County, New Jersey",7.7,9.9,1407,2021,352,1071,1831,306,952,93323
Camden,34007610300,"Census Tract 6103, Camden County, New Jersey",22.6,3.9,138,1500,14,0,1500,731,905,26484
Camden,34007610400,"Census Tract 6104, Camden County, New Jersey",7.7,9.7,316,1003,290,343,687,586,929,22472
Camden,34007610500,"Census Tract 6105, Camden County, New Jersey",10.7,6.6,1212,1465,509,719,1244,292,1086,82906
Camden,34007610600,"Census Tract 6106, Camden County, New Jersey",12.7,3.8,65,1885,66,559,1217,476,1049,45694
Camden,34007610800,"Census Tract 6108, Camden County, New Jersey",5.8,9.4,628,1544,177,779,1376,258,979,42200
Camden,34007610900,"Census Tract 6109, Camden County, New Jersey",4.6,15,505,1668,276,925,1405,701,798,63750
Camden,34007611000,"Census Tract 6110, Camden County, New Jersey",6.7,12.9,762,1246,526,517,948,920,1081,43794
Camden,34007611100,"Census Tract 6111, Camden County, New Jersey",3.9,17.2,489,1604,264,780,1315,513,909,45946
Camden,34007611200,"Census Tract 6112, Camden County, New Jersey",5,20,899,2033,395,914,1691,299,1098,82171
Camden,34007611300,"Census Tract 6113, Camden County, New Jersey",6.1,26.9,571,1808,529,858,1351,362,1462,54483
Camden,34007611400,"Census Tract 6114, Camden County, New Jersey",4.8,18.5,1111,1673,305,891,1505,157,1604,65156
Camden,34007611500,"Census Tract 6115, Camden County, New Jersey",2.2,17.2,971,1868,463,774,1515,204,1188,67396
Camden,34007611600,"Census Tract 6116, Camden County, New Jersey",22.7,7.3,289,2177,203,944,1668,1448,1039,43636
Camden,34007611700,"Census Tract 6117, Camden County, New Jersey",3.6,12.6,678,1866,198,768,1618,206,1064,84976
Gloucester,34015500100,"Census Tract 5001, Gloucester County, New Jersey",10.4,16.3,648,1756,382,820,1409,551,881,54375
Gloucester,34015500201,"Census Tract 5002.01, Gloucester County, New Jersey",4.3,18.8,475,1706,256,744,1369,140,797,70500
Gloucester,34015500202,"Census Tract 5002.02, Gloucester County, New Jersey",3.7,22.5,887,1742,432,775,1425,408,1055,59199
Gloucester,34015500203,"Census Tract 5002.03, Gloucester County, New Jersey",5.5,9,912,1866,419,797,1529,501,1305,73371
Gloucester,34015500204,"Census Tract 5002.04, Gloucester County, New Jersey",10.8,5.9,1163,2559,280,1013,2259,1099,952,85444
Gloucester,34015500205,"Census Tract 5002.05, Gloucester County, New Jersey",5.4,11.6,696,1894,505,774,1423,301,1466,63869
Gloucester,34015500300,"Census Tract 5003, Gloucester County, New Jersey",8.2,18.6,600,1757,276,857,1473,168,1025,61397
Gloucester,34015500400,"Census Tract 5004, Gloucester County, New Jersey",4.8,20.5,891,1297,705,731,1047,733,1009,46429
Gloucester,34015500500,"Census Tract 5005, Gloucester County, New Jersey",3.8,26.5,843,1826,707,809,1362,349,1154,70255
Gloucester,34015500600,"Census Tract 5006, Gloucester County, New Jersey",5.4,10.9,2293,2551,720,1025,2186,221,1200,123118
Gloucester,34015500701,"Census Tract 5007.01, Gloucester County, New Jersey",4.8,5.9,1794,1845,969,788,1474,313,1290,88810
Gloucester,34015500702,"Census Tract 5007.02, Gloucester County, New Jersey",2,9.3,1327,2281,612,899,1845,121,1191,95066
Gloucester,34015500703,"Census Tract 5007.03, Gloucester County, New Jersey",9.9,11.1,234,2335,193,1121,1786,59,843,101786
Gloucester,34015500800,"Census Tract 5008, Gloucester County, New Jersey",2.8,18.3,486,2425,214,1169,2041,34,983,110694
Gloucester,34015500900,"Census Tract 5009, Gloucester County, New Jersey",6.8,23,645,2076,305,963,1719,121,1222,80444
Gloucester,34015501001,"Census Tract 5010.01, Gloucester County, New Jersey",2.7,10.2,417,1777,138,955,1573,177,1421,81216
Gloucester,34015501002,"Census Tract 5010.02, Gloucester County, New Jersey",8.2,8.4,549,1842,183,863,1597,1039,895,35242
Gloucester,34015501003,"Census Tract 5010.03, Gloucester County, New Jersey",2.5,10.9,710,1908,317,934,1607,347,1134,64698
Gloucester,34015501101,"Census Tract 5011.01, Gloucester County, New Jersey",14.1,3.9,712,1578,375,657,1260,756,917,36582
Gloucester,34015501102,"Census Tract 5011.02, Gloucester County, New Jersey",13,4,1266,1805,603,826,1489,961,1579,91742
Gloucester,34015501103,"Census Tract 5011.03, Gloucester County, New Jersey",2.7,12.1,1141,1969,428,891,1675,139,1222,77917
Gloucester,34015501104,"Census Tract 5011.04, Gloucester County, New Jersey",5.1,22.1,640,1801,257,789,1511,178,974,77578
Gloucester,34015501105,"Census Tract 5011.05, Gloucester County, New Jersey",14.9,5.2,386,1778,150,679,1470,723,1264,59159
Gloucester,34015501106,"Census Tract 5011.06, Gloucester County, New Jersey",4.6,5.5,814,1774,323,822,1504,235,1022,61429
Gloucester,34015501107,"Census Tract 5011.07, Gloucester County, New Jersey",2.7,21,982,1644,384,629,1359,167,1192,76100
Gloucester,34015501201,"Census Tract 5012.01, Gloucester County, New Jersey",3.1,7.9,1337,2403,512,1076,2036,49,1438,118417
Gloucester,34015501202,"Census Tract 5012.02, Gloucester County, New Jersey",2.2,19.2,1064,2386,408,1044,2014,17,0,116801
Gloucester,34015501203,"Census Tract 5012.03, Gloucester County, New Jersey",6.3,27.5,803,1736,333,872,1483,101,1377,79688
Gloucester,34015501204,"Census Tract 5012.04, Gloucester County, New Jersey",1.1,20.7,811,2106,458,921,1678,14,0,90446
Gloucester,34015501205,"Census Tract 5012.05, Gloucester County, New Jersey",2.8,5.7,635,2637,159,865,2282,151,1133,90648
Gloucester,34015501206,"Census Tract 5012.06, Gloucester County, New Jersey",11.7,16.5,640,2042,306,902,1673,536,971,66531
Gloucester,34015501208,"Census Tract 5012.08, Gloucester County, New Jersey",10.5,2.8,953,1924,450,909,1598,187,1546,79111
Gloucester,34015501209,"Census Tract 5012.09, Gloucester County, New Jersey",10.8,3.6,1087,2489,590,1097,1999,1132,1146,79621
Gloucester,34015501210,"Census Tract 5012.10, Gloucester County, New Jersey",2.9,13.1,827,2270,279,1020,1955,12,0,106645
Gloucester,34015501212,"Census Tract 5012.12, Gloucester County, New Jersey",6.4,10.4,671,1834,280,750,1515,391,1551,71481
Gloucester,34015501213,"Census Tract 5012.13, Gloucester County, New Jersey",5.2,1.9,1130,2188,392,1038,1892,179,1377,91750
Gloucester,34015501301,"Census Tract 5013.01, Gloucester County, New Jersey",7.9,17.5,781,1876,315,911,1599,264,1147,73864
Gloucester,34015501302,"Census Tract 5013.02, Gloucester County, New Jersey",6.2,6.3,527,1640,164,705,1418,324,1170,69583
Gloucester,34015501303,"Census Tract 5013.03, Gloucester County, New Jersey",13.3,19,588,1803,181,1208,1663,212,981,75588
Gloucester,34015501402,"Census Tract 5014.02, Gloucester County, New Jersey",21.7,18.2,363,1664,141,793,1420,494,1182,34944
Gloucester,34015501403,"Census Tract 5014.03, Gloucester County, New Jersey",9.3,8.4,915,1808,280,888,1592,243,1097,82556
Gloucester,34015501404,"Census Tract 5014.04, Gloucester County, New Jersey",11.8,17,143,1602,58,869,1390,282,1268,29583
Gloucester,34015501405,"Census Tract 5014.05, Gloucester County, New Jersey",5.5,2.5,1066,2034,174,883,1872,223,857,102314
Gloucester,34015501406,"Census Tract 5014.06, Gloucester County, New Jersey",12.3,7.4,663,2065,310,884,1689,773,1019,42337
Gloucester,34015501500,"Census Tract 5015, Gloucester County, New Jersey",3.7,9.1,1697,1798,556,733,1535,684,1118,65595
Gloucester,34015501603,"Census Tract 5016.03, Gloucester County, New Jersey",1.8,9.7,1234,1873,792,708,1418,693,987,61513
Gloucester,34015501604,"Census Tract 5016.04, Gloucester County, New Jersey",5,9.9,1356,1948,558,827,1621,692,1111,70303
Gloucester,34015501605,"Census Tract 5016.05, Gloucester County, New Jersey",4,13.7,865,2126,663,821,1560,100,982,65660
Gloucester,34015501606,"Census Tract 5016.06, Gloucester County, New Jersey",6.4,14.1,1869,2104,597,927,1819,56,1152,82019
Gloucester,34015501608,"Census Tract 5016.08, Gloucester County, New Jersey",5.7,6.7,1074,1719,774,838,1350,270,1550,66277
Gloucester,34015501609,"Census Tract 5016.09, Gloucester County, New Jersey",4,4.3,1202,2696,313,1207,2388,321,801,116524
Gloucester,34015501701,"Census Tract 5017.01, Gloucester County, New Jersey",1.8,9.8,1356,2090,414,768,1781,32,0,101023
Gloucester,34015501702,"Census Tract 5017.02, Gloucester County, New Jersey",2.7,16.5,523,1872,254,858,1541,74,1000,102037
Gloucester,34015501703,"Census Tract 5017.03, Gloucester County, New Jersey",5.6,12.7,951,1776,381,816,1501,158,1212,70227
Gloucester,34015501704,"Census Tract 5017.04, Gloucester County, New Jersey",5.4,11.9,884,1690,425,689,1365,254,1241,63691
Gloucester,34015501800,"Census Tract 5018, Gloucester County, New Jersey",9.7,16.5,305,1963,150,748,1562,138,1171,74226
Gloucester,34015501900,"Census Tract 5019, Gloucester County, New Jersey",2.8,14.4,787,2220,486,790,1674,123,856,81649
Gloucester,34015502001,"Census Tract 5020.01, Gloucester County, New Jersey",6.4,2.5,1337,2927,204,1129,2689,282,956,137083
Gloucester,34015502002,"Census Tract 5020.02, Gloucester County, New Jersey",5.4,7.5,1628,2619,581,960,2183,177,1898,126338
Gloucester,34015502100,"Census Tract 5021, Gloucester County, New Jersey",4.5,6.6,662,2832,356,1053,2210,9,0,121406
Gloucester,34015502200,"Census Tract 5022, Gloucester County, New Jersey",6.9,1.9,2605,2773,595,1127,2467,669,1623,123347
Gloucester,34015502300,"Census Tract 5023, Gloucester County, New Jersey",10.8,11.5,461,2058,196,956,1729,263,1415,78267
Gloucester,34015502400,"Census Tract 5024, Gloucester County, New Jersey",7.9,7.9,1482,1732,420,719,1508,121,1293,105804